Submission ID,Respondent ID,Submitted at,Selecione a turma que você está estudando.,Qual curso você deseja avaliar?,Selecione o(a) professor(a) responsável pelo curso:,Data de Início do Curso,Data de Término do Curso,1. MINHA PRESENÇA E PARTICIPAÇÃO NO CURSO,2. MINHA POSTURA ACADÊMICA PERANTE A TURMA,3. USO DE APARELHOS ELETRÔNICOS,4. MEU NÍVEL DE APRENDIZADO E AUTODESENVOLVIMENTO,5. Escreva seu autofeedback sobre sua participação. (OPCIONAL),1. ORGANIZAÇÃO / PLANEJAMENTO DO CURSO,2. RELACIONAMENTO COM A TURMA,3. DOMÍNIO DO ASSUNTO - CONHECIMENTO,4. APLICABILIDADE DOS CONTEÚDOS ABORDADOS EM SALA,5. DIDÁTICA E COMUNICAÇÃO,6. PONTUALIDADE DO PROFESSOR,7. Escreva seu feedback sobre o(a) professor(a). (OPCIONAL),1. A metodologia de ensino utilizada no curso estimulou a minha participação ativa e colaborativa nas atividades.,2. A metodologia de ensino utilizada no curso facilitou a aplicação prática dos conhecimentos adquiridos em contextos reais ou simulados.,3. Escreva seu feedback sobre a metodologia de ensino. (OPCIONAL),1. EQUIPE DE APOIO,2. ESTRUTURA DA SALA DE AULA,3. CONFORTO E CLIMATIZAÇÃO DO AMBIENTE,1. Qual foi o seu nível de aproveitamento no curso?,"2. Em uma escala de 0 a 10, qual é a probabilidade de você recomendar este curso para um colega, amigo ou familiar?","3. Em uma escala de 0 a 10, qual é a probabilidade de você recomendar o Instituto Valente para um colega, amigo ou familiar?",4. Como podemos melhorar? (OPCIONAL),"Caso queira receber um retorno sobre sua pesquisa de satisfação, por favor, informe seu e-mail abaixo. (OPCIONAL)"
yPv6k2X,AZppbD,2025-08-02 20:12:30,TURMA-001 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-08-01,2025-08-02,10,10,10,10,,10,10,10,10,10,10,,10,10,,10,10,10,100% – Estive presente e focado durante todo o curso.,10,10,,
pbWK1kV,zVp0Wa,2025-08-02 20:12:35,TURMA-001 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-08-01,2025-08-02,,,,,,,,,,,,,,,,,,,,,,,
2EveyxL,4ZW1AO,2025-08-02 20:13:25,TURMA-001 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-08-01,2025-08-02,10,10,10,10,,10,10,10,10,10,10,,10,10,,10,10,10,100% – Estive presente e focado durante todo o curso.,10,10,,
Y5YQv2J,d7LZKq,2025-08-02 20:13:41,TURMA-001 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-08-01,2025-08-02,10,10,8,9,,10,10,10,10,10,10,,10,10,,10,10,10,100% – Estive presente e focado durante todo o curso.,10,10,,
WOYNBYN,baB2Ko,2025-08-02 20:13:56,TURMA-001 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-08-01,2025-08-02,10,9,10,9,,10,9,10,10,10,10,,10,10,,10,10,10,100% – Estive presente e focado durante todo o curso.,10,10,,
MeYbZXE,pgg9JJ,2025-08-02 20:14:45,TURMA-001 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-08-01,2025-08-02,10,10,8,10,,10,10,10,10,10,10,,10,10,,10,10,10,"75% – Estive presente e focado na maior parte do tempo, mas tive algumas distrações.",10,10,,
2Eveg9g,yL49Pd,2025-08-02 20:14:48,TURMA-001 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-08-01,2025-08-02,10,10,10,10,Sempre envolvida nas perguntas do palestrante e interação com todos os participantes.,10,10,10,10,10,10,Palestrante com bastante conhecimento e experiência. Trouxe muitos exemplos do dia a dia. Interagiu com todos os participantes.,10,10,,10,10,10,100% – Estive presente e focado durante todo o curso.,10,10,,
zxJqvvk,Y2Eoxd,2025-08-02 20:15:07,TURMA-001 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-08-01,2025-08-02,10,10,2,8,"Participei de forma aberta e comprometida, refletindo com sinceridade sobre meus desafios e aprendizados. Aproveitei ao máximo os conteúdos e exercícios, e saio da imersão com mais clareza, motivação e ações práticas para aplicar no meu dia a dia.",10,10,10,10,8,10,"conduziu a imersão com clareza, empatia e profundidade. Trouxe reflexões valiosas, exemplos práticos e criou um ambiente seguro para o aprendizado. A forma como compartilhou experiências e provocou mudanças foi inspiradora.",8,8,,9,8,8,100% – Estive presente e focado durante todo o curso.,8,8,,
obdyLo5,Z0OJDA,2025-08-02 20:15:31,TURMA-001 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-08-01,2025-08-02,10,10,8,10,,9,10,10,9,10,10,,10,10,,10,10,10,100% – Estive presente e focado durante todo o curso.,10,10,,
yPv6ay4,Nz1gvj,2025-08-02 20:15:49,TURMA-001 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-08-01,2025-08-02,10,10,5,9,,10,10,10,10,10,10,,10,10,,10,10,10,"75% – Estive presente e focado na maior parte do tempo, mas tive algumas distrações.",10,10,,
gDZ0BPN,18428M,2025-08-02 20:16:51,TURMA-001 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-08-01,2025-08-02,10,10,10,10,,10,10,10,10,10,10,,10,10,,10,10,10,100% – Estive presente e focado durante todo o curso.,10,10,,
gDZ0ER4,jKNX5Q,2025-08-02 20:17:06,TURMA-001 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-08-01,2025-08-02,10,10,8,10,,10,9,10,9,10,10,,10,8,,10,10,10,100% – Estive presente e focado durante todo o curso.,9,9,,
ODYz2p8,042bZ6,2025-08-02 20:17:09,TURMA-001 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-08-01,2025-08-02,10,10,10,10,,10,10,10,10,10,10,,10,10,,10,10,10,100% – Estive presente e focado durante todo o curso.,10,10,,
xXyp5gr,DLrXZ5,2025-08-02 20:17:11,TURMA-001 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-08-01,2025-08-02,10,8,9,9,,10,10,10,10,10,10,Incrível metodologia e engajamento. Grande domínio no assunto e conhecimentos externos.,10,10,,10,10,10,100% – Estive presente e focado durante todo o curso.,10,10,,
EkDX2O2,r7aRol,2025-08-02 20:17:16,TURMA-001 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-08-01,2025-08-02,10,10,10,10,,10,10,10,10,10,10,,10,10,,10,10,10,100% – Estive presente e focado durante todo o curso.,10,10,,
aQE6p5E,rXN0q5,2025-08-02 20:17:16,TURMA-001 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-08-01,2025-08-02,10,10,9,8,Inteligência emocional que vai contribuir muito para o meu desenvolvimento como profissional,10,10,10,10,10,10,Muito bom!,10,10,,10,10,10,100% – Estive presente e focado durante todo o curso.,10,10,,carloosjoser@gmail.com
